PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,TARPOP,TARAGG,TARSBJ,T001,T048,T064,T080,T096,T112,T128,T144,T160,T176,T192,T208,T224,T240
10000291,10000291,K00300,1,65,14,,3,5,11,9,27,11,19,8,6,0,2,0,0,0
10000291,10000291,K00306,1,55,14,,6,13,22,17,11,9,9,6,6,0,2,0,0,0
10000291,10000291,K00308,1,15,24,,10,0,25,30,0,10,10,25,0,0,0,0,0,0
10000291,10000291,K00309,1,45,13,021,5,5,5,5,25,10,10,15,20,0,0,0,0,0
10000291,10000291,K00310,1,25,24,,15,10,30,15,10,5,10,5,0,0,0,0,0,0
10000291,10000291,K00312,1,20,14,,5,10,15,15,15,5,20,5,5,0,0,0,0,0
10000291,10000291,K00314,1,40,13,063,5,10,20,25,10,10,5,10,15,5,0,0,0,0
10000291,10000291,K00316,1,15,13,065,0,15,5,45,5,5,5,15,5,0,0,0,0,0
10000291,10000291,K00320,1,10,14,,20,0,70,10,0,0,0,0,0,0,0,0,0,0
10000291,10000291,K00323,1,390,11,2,2,4,7,13,23,17,15,8,10,1,0,0,0,0
10000291,10000291,K00324,1,390,11,2,2,4,7,13,23,17,15,8,10,1,0,0,0,0
10000291,10000291,K00326,1,110,12,04,2,6,12,15,19,23,13,6,3,0,0,1,0,0
10000291,10000291,K00327,1,110,12,04,2,6,12,15,19,23,13,6,3,0,0,1,0,0
10000291,10000291,K00328,1,55,13,098,5,3,13,20,14,16,16,6,6,1,0,0,0,0
10000291,10000291,K00329,1,390,11,2,2,4,7,13,23,17,15,8,10,1,0,0,0,0
10000291,10000291,K00330,1,390,11,2,2,4,7,13,23,17,15,8,10,1,0,0,0,0
10000291,10000291,K00331,1,210,11,B,5,9,19,19,15,10,6,7,8,1,0,0,0,0
10000291,10000291,K00442,1,85,13,075,2,5,24,22,15,14,10,6,1,0,1,0,0,0
10000385,10000385,BAACT,1,40,14,,5,0,0,10,5,0,20,15,20,5,5,0,0,0
10000385,10000385,BAAEP,1,30,14,,0,5,5,5,20,20,15,20,0,0,5,5,0,0
10000385,10000385,BAANP,1,50,14,,0,0,15,5,15,10,20,25,5,5,0,0,0,0
10000385,10000385,BAARC,1,30,14,,5,0,15,15,15,20,10,10,5,5,5,0,0,0
10000385,10000385,BACPH,1,50,14,,0,0,10,10,25,20,15,10,10,0,0,0,0,0
10000385,10000385,BACRW,1,200,12,38,3,1,8,6,14,19,16,18,10,5,1,1,0,1
10000385,10000385,BACSS,1,55,14,,2,4,7,5,11,18,16,16,13,4,2,2,2,0
10000385,10000385,BADAN,1,140,12,37,4,1,4,12,12,12,17,13,14,4,3,1,1,1
10000385,10000385,BAFAR,1,40,14,,10,0,10,5,5,25,5,10,15,0,0,0,0,0
10000385,10000385,BAFCO,1,310,13,096,4,5,6,9,15,20,12,16,9,2,1,1,0,0
10000385,10000385,BAFLP,1,55,14,,5,0,2,4,2,25,13,18,16,9,2,4,0,2
10000385,10000385,BAFSC,1,60,14,,2,12,5,10,7,25,15,15,8,2,0,0,0,0
10000385,10000385,BAGDS,1,65,14,,5,2,3,6,22,14,16,19,9,3,2,0,0,0
10000385,10000385,BAIAD,1,35,14,,0,10,15,15,15,25,10,10,5,0,0,0,0,0
10000385,10000385,BAILL,1,50,14,,0,0,5,10,20,20,15,15,5,0,0,5,0,0
10000385,10000385,BAMDM,1,30,14,,10,0,10,10,10,15,5,15,15,5,5,0,0,0
10000385,10000385,BAMMP,1,40,14,,5,0,0,20,20,15,15,5,10,0,0,0,0,0
10000385,10000385,BAPHO,1,45,14,,0,5,10,5,15,20,15,20,10,0,0,0,0,0
10000385,10000385,BATXT,1,40,14,,10,0,0,10,5,25,5,20,15,0,0,0,0,0
10000385,10000385,BAVCO,1,30,14,,5,5,5,10,20,20,5,15,5,5,0,5,0,0
10000385,10000385,BAVFX,1,200,13,100,3,1,8,6,14,19,16,18,10,5,1,1,0,1
10000571,10000571,BA-3DIMO,1,10,24,,0,20,20,20,0,20,10,0,0,0,0,0,0,10
10000571,10000571,BA-ACT,1,50,14,,0,0,0,0,5,20,25,15,20,10,0,0,0,0
10000571,10000571,BA-BM,1,80,14,,0,1,4,15,23,25,19,7,6,0,0,0,0,0
10000571,10000571,BA-BM-SW,1,100,13,061,0,1,4,14,24,26,18,7,6,0,0,0,0,0
10000571,10000571,BA-BMACC,1,10,14,,0,0,0,35,10,25,0,20,10,0,0,0,0,0
10000571,10000571,BA-BMACC-SW,1,10,13,066,0,0,0,35,10,25,0,20,10,0,0,0,0,0
10000571,10000571,BA-BMENP,1,100,13,061,0,1,4,14,24,26,18,7,6,0,0,0,0,0
10000571,10000571,BA-BMENP-SW,1,100,13,061,0,1,4,14,24,26,18,7,6,0,0,0,0,0
10000571,10000571,BA-BMFAE,1,100,13,061,0,1,4,14,24,26,18,7,6,0,0,0,0,0
10000571,10000571,BA-BMFAE-SW,1,100,13,061,0,1,4,14,24,26,18,7,6,0,0,0,0,0
10000571,10000571,BA-BMHRM,1,10,14,,0,0,10,10,20,20,0,10,30,0,0,0,0,0
10000571,10000571,BA-BMHRM-SW,1,10,13,064,0,0,10,10,20,20,0,10,30,0,0,0,0,0
10000571,10000571,BA-BMINT,1,100,13,061,0,1,4,14,24,26,18,7,6,0,0,0,0,0
10000571,10000571,BA-BMINT-SW,1,100,13,061,0,1,4,14,24,26,18,7,6,0,0,0,0,0
10000571,10000571,BA-BMLAW,1,100,13,061,0,1,4,14,24,26,18,7,6,0,0,0,0,0
10000571,10000571,BA-BMLAW-SW,1,100,13,061,0,1,4,14,24,26,18,7,6,0,0,0,0,0
10000571,10000571,BA-BMM,1,35,14,,0,0,0,30,35,10,10,5,10,0,0,0,0,0
10000571,10000571,BA-BMM-SW,1,10,12,26,0,0,10,10,20,20,0,10,30,0,0,0,0,0
10000571,10000571,BA-BMTM,1,160,11,D,0,1,3,20,24,22,14,7,9,0,0,0,0,0
10000571,10000571,BA-BMTM-SW,1,160,11,D,0,1,3,20,24,22,14,7,9,0,0,0,0,0
10000571,10000571,BA-CAP,1,30,14,,0,5,5,0,10,40,25,5,5,0,5,5,0,0
10000571,10000571,BA-CM,1,35,14,,5,5,0,5,25,20,20,15,5,0,5,5,0,0
10000571,10000571,BA-CMP,1,20,14,,0,0,10,15,15,40,10,10,5,0,0,0,0,0
10000571,10000571,BA-CW,1,55,14,,2,2,4,8,23,19,19,13,9,2,0,0,0,0
10000571,10000571,BA-DA,1,25,14,,0,0,0,15,10,20,5,30,10,5,5,0,5,0
10000571,10000571,BA-DS,1,40,14,,5,0,5,5,30,30,15,10,5,5,5,0,0,0
