PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,CONTPOP,CONTAGG,CONTSBJ,UCONT,UDORMANT,UGAINED,ULEFT,ULOWER
10000385,10000385,BADAN,1,205,12,37,94,0,0,5,1
10000385,10000385,BAFAR,1,70,14,,87,3,0,4,6
10000385,10000385,BAFCO,1,425,13,096,91,3,0,5,1
10000385,10000385,BAFLP,1,70,14,,92,3,0,0,6
10000385,10000385,BAFSC,1,85,14,,87,6,0,6,1
10000385,10000385,BAGDS,1,80,14,,91,4,0,4,1
10000385,10000385,BAIAD,1,40,14,,100,0,0,0,0
10000385,10000385,BAILL,1,80,14,,94,0,0,5,1
10000385,10000385,BAMDM,1,35,14,,90,5,0,5,0
10000385,10000385,BAMMP,1,60,14,,90,0,0,8,2
10000385,10000385,BAPHO,1,60,14,,97,2,0,2,0
10000385,10000385,BATXT,1,40,14,,95,0,0,5,5
10000385,10000385,BAVCO,1,65,14,,84,2,0,13,2
10000385,10000385,BAVFX,1,265,13,100,90,3,0,4,3
10000415,10000415,BSA3F,1,20,14,,90,0,0,10,0
10000415,10000415,DFACCF,1,20,13,021,65,0,0,35,0
10000415,10000415,DFALMF,1,25,14,,65,0,0,40,0
10000415,10000415,DFALMP,2,20,23,024,45,0,0,55,0
10000415,10000415,DFAMX,1,45,14,,85,0,0,15,0
10000415,10000415,DFAMXF,1,45,14,,85,0,0,15,0
10000415,10000415,DFAMXP,2,20,23,024,45,0,0,55,0
10000415,10000415,DFARBF,1,166,12,09,71,0,0,29,0
10000415,10000415,DFCFBF,1,20,13,021,65,0,0,35,0
10000415,10000415,DFCMXF,1,15,14,,80,0,0,20,0
10000415,10000415,DFCMXP,2,20,23,024,45,0,0,55,0
10000415,10000415,DFELEF,1,145,13,024,72,0,0,28,0
10000415,10000415,DFESCF,1,145,13,024,72,0,0,28,0
10000415,10000415,DFHORF,1,10,14,,60,0,0,40,0
10000415,10000415,DFSSMF,1,145,13,024,72,0,0,28,0
10000415,10000415,DFVNX,1,20,13,021,65,0,0,35,0
10000415,10000415,DFVNXF,1,20,13,021,65,0,0,35,0
10000528,10000528,Q130F061-15,1,10,14,,65,0,10,25,0
10000528,10000528,Q170F016,1,15,24,,95,0,5,0,0
10000528,10000528,Q170F017,1,10,14,,90,0,0,10,0
10000528,10000528,Q170F019,1,15,14,,60,0,0,40,0
10000528,10000528,Q170F224-15,1,10,14,,60,0,0,40,0
10000533,10000533,2D2055,1,74,23,061,73,0,0,27,0
10000536,10000536,AT19CBSCFT,1,25,13,048,25,0,50,20,0
10000536,10000536,AT19CBSCPT,2,10,23,048,100,0,0,0,0
10000536,10000536,AT39BHND,1,10,23,061,80,0,0,20,0
10000536,10000536,AT39THND,1,10,21,D,80,0,0,20,0
10000536,10000536,AT49AMHD,1,10,13,024,20,0,0,80,0
10000536,10000536,CA29HHND,1,10,21,D,80,0,0,20,0
10000536,10000536,CA49AHNDFT,1,15,12,36,95,0,0,5,0
10000536,10000536,CA49BAMT,1,54,13,097,72,0,0,28,0
10000536,10000536,CA49BAPM,1,54,13,097,72,0,0,28,0
10000536,10000536,CA49FDTT,1,15,11,H,95,0,0,5,0
10000536,10000536,CA49GHNDFT,1,15,13,096,95,0,0,5,0
10000536,10000536,PS29EYBAFT,1,62,13,105,37,0,2,61,0
10000536,10000536,PS29EYBAPT,2,40,13,105,75,0,0,20,0
10000536,10000536,PS39SHND,1,25,13,018,35,0,40,25,0
