PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,EMPPOP,EMPRESP_RATE,EMPAGG,EMPSBJ,WORKSTUDY,STUDY,ASSUNEMP,BOTH,NOAVAIL,WORK
10000415,10000415,DFALMP,2,15,81,23,024,100,20,0,35,0,50
10000415,10000415,DFAMX,1,20,87,14,,95,35,5,20,0,40
10000415,10000415,DFAMXF,1,20,87,14,,95,35,5,20,0,40
10000415,10000415,DFAMXP,2,15,81,23,024,100,20,0,35,0,50
10000415,10000415,DFARBF,1,59,87,12,09,98,46,2,14,0,38
10000415,10000415,DFCFBF,1,59,87,12,09,98,46,2,14,0,38
10000415,10000415,DFCMXF,1,20,91,24,,100,60,0,15,0,25
10000415,10000415,DFCMXP,2,15,81,23,024,100,20,0,35,0,50
10000415,10000415,DFELEF,1,58,88,13,024,98,47,2,15,0,37
10000415,10000415,DFESCF,1,58,88,13,024,98,47,2,15,0,37
10000415,10000415,DFHORF,1,58,88,13,024,98,47,2,15,0,37
10000415,10000415,DFSSMF,1,58,88,13,024,98,47,2,15,0,37
10000415,10000415,DFVNX,1,59,87,12,09,98,46,2,14,0,38
10000415,10000415,DFVNXF,1,59,87,12,09,98,46,2,14,0,38
10000528,10000528,Q130F061-15,1,10,67,24,,85,50,15,25,0,10
10000528,10000528,Q170F016,1,15,67,13,096,75,30,5,0,20,45
10000528,10000528,Q170F017,1,15,81,24,,95,75,5,10,0,5
10000528,10000528,Q170F019,1,10,61,24,,90,45,10,20,0,25
10000528,10000528,Q170F224-15,1,15,64,13,100,100,70,0,15,0,15
10000533,10000533,1C1035,1,25,72,24,,85,65,15,5,5,15
10000534,10000534,BEAUTFD,1,20,68,13,006,95,60,0,5,5,30
10000534,10000534,NETWKFD,1,20,60,13,035,90,65,5,15,5,5
10000534,10000534,PUBLCHNC,2,15,52,23,053,100,0,0,30,0,70
10000534,10000534,PUBLCHND,2,15,52,23,053,100,0,0,30,0,70
10000534,10000534,SOFTWFD,1,20,60,13,035,90,65,5,15,5,5
10000536,10000536,AT19CBSCFT,1,20,67,23,048,95,10,5,0,0,85
10000536,10000536,CA49BAMT,1,20,62,13,097,80,10,15,0,5,70
10000536,10000536,CA49BAPM,1,20,62,13,097,80,10,15,0,5,70
10000536,10000536,PS29EYBAFT,1,15,65,13,105,85,25,0,10,15,55
10000536,10000536,PS29EYBAPT,2,10,67,13,105,80,10,0,20,20,50
10000536,10000536,PS39SHND,1,15,88,23,018,95,55,5,20,0,20
10000536,10000536,PS69PPHS,1,30,67,23,011,95,70,0,0,5,30
10000571,10000571,BA-3DIMO,1,10,85,14,,90,0,0,0,10,90
10000571,10000571,BA-ACT,1,45,80,14,,85,0,10,5,5,75
10000571,10000571,BA-BM,1,45,85,14,,95,10,5,0,0,85
10000571,10000571,BA-BM-SW,1,10,85,14,,100,0,0,0,0,100
10000571,10000571,BA-BMACC,1,85,87,11,D,91,11,8,2,2,78
10000571,10000571,BA-BMACC-SW,1,85,87,11,D,91,11,8,2,2,78
10000571,10000571,BA-BMENP,1,65,84,13,061,94,10,5,1,1,84
10000571,10000571,BA-BMENP-SW,1,65,84,13,061,94,10,5,1,1,84
10000571,10000571,BA-BMFAE,1,65,84,13,061,94,10,5,1,1,84
10000571,10000571,BA-BMFAE-SW,1,65,84,13,061,94,10,5,1,1,84
10000571,10000571,BA-BMHRM,1,85,87,11,D,91,11,8,2,2,78
10000571,10000571,BA-BMHRM-SW,1,85,87,11,D,91,11,8,2,2,78
10000571,10000571,BA-BMINT,1,65,84,13,061,94,10,5,1,1,84
10000571,10000571,BA-BMINT-SW,1,65,84,13,061,94,10,5,1,1,84
10000571,10000571,BA-BMLAW,1,65,84,13,061,94,10,5,1,1,84
10000571,10000571,BA-BMLAW-SW,1,65,84,13,061,94,10,5,1,1,84
10000571,10000571,BA-BMM,1,15,95,14,,80,20,15,0,5,55
10000571,10000571,BA-BMM-SW,1,85,87,11,D,91,11,8,2,2,78
10000571,10000571,BA-BMTM,1,85,87,11,D,91,11,8,2,2,78
10000571,10000571,BA-BMTM-SW,1,85,87,11,D,91,11,8,2,2,78
10000571,10000571,BA-CAP,1,30,75,14,,85,15,15,10,5,55
10000571,10000571,BA-CM,1,30,85,14,,85,5,10,0,5,75
10000571,10000571,BA-CMP,1,10,70,14,,80,0,20,0,0,80
10000571,10000571,BA-CW,1,25,75,14,,85,15,10,5,10,65
10000571,10000571,BA-DA,1,10,70,14,,90,15,0,0,10,75
10000571,10000571,BA-DS,1,40,80,14,,90,15,5,0,5,70
10000571,10000571,BA-EDAAR,1,20,60,13,095,85,10,5,0,10,75
10000571,10000571,BA-EDAAR,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BA-EDABM,1,65,84,13,061,94,10,5,1,1,84
10000571,10000571,BA-EDABM,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BA-EDACW,1,50,75,13,101,80,15,10,5,10,60
10000571,10000571,BA-EDACW,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BA-EDADA,1,20,70,13,099,90,20,0,0,10,70
10000571,10000571,BA-EDADA,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BA-EDADS,1,120,80,13,098,89,9,7,3,4,76
10000571,10000571,BA-EDADS,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BA-EDAEN,1,80,86,13,075,95,17,4,3,1,74
10000571,10000571,BA-EDAEN,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BA-EDAHY,1,55,76,13,090,91,24,5,5,5,62
10000571,10000571,BA-EDAHY,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BA-EDAMC,1,30,60,13,069,85,5,10,0,5,80
10000571,10000571,BA-EDAMC,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BA-EDASR,1,25,70,23,094,85,10,10,5,5,70
10000571,10000571,BA-EDASR,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BA-EDATD,1,105,84,13,096,85,3,8,0,8,82
10000571,10000571,BA-EDATD,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BA-EDSECAAR,1,20,60,13,095,85,10,5,0,10,75
10000571,10000571,BA-EDSECAAR,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BA-EDSECABI,1,25,90,13,012,95,25,5,10,0,65
10000571,10000571,BA-EDSECABI,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BA-EDSECADS,1,120,80,13,098,89,9,7,3,4,76
10000571,10000571,BA-EDSECADS,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BA-EDSECAEN,1,50,75,13,101,80,15,10,5,10,60
10000571,10000571,BA-EDSECAEN,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BA-EDSECAMU,1,100,88,13,097,88,14,4,3,8,72
10000571,10000571,BA-EDSECAMU,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BA-EDSECASR,1,25,70,23,094,85,10,10,5,5,70
10000571,10000571,BA-EDSECASR,1,130,74,13,105,91,42,2,16,7,34
10000571,10000571,BA-EDSIN,1,40,90,14,,95,60,5,15,0,20
10000571,10000571,BA-EN,1,50,90,14,,95,15,5,0,0,80
10000571,10000571,BA-ES,1,25,65,14,,100,30,0,25,0,45
10000571,10000571,BA-EY,1,30,65,14,,80,25,0,15,20,40
10000571,10000571,BA-EYSIN,1,10,80,14,,100,65,0,15,0,15
10000571,10000571,BA-FD,1,15,75,14,,100,5,0,0,0,95
10000571,10000571,BA-FINEART,1,20,60,14,,85,10,5,0,10,75
10000571,10000571,BA-FSS,1,10,65,14,,90,0,0,0,10,90
10000571,10000571,BA-FTD,1,30,85,14,,80,5,10,0,10,75
10000571,10000571,BA-FTV,1,30,60,13,069,85,5,10,0,5,80
10000571,10000571,BA-GEHU,1,45,85,11,L,85,5,10,5,5,75
10000571,10000571,BA-GRAPHCOM,1,50,90,14,,80,0,10,0,10,80
