PUBUKPRN,UKPRN,COUNTRY,PUBUKPRNCOUNTRY,TEFMARKER,SUURL,SUURLW,Q24,Q24POP,Q24RESP_RATE
10001144,10001144,XF,XF,0,http://www.canterburycollege.ac.uk/student-information/students-union/,,,,
10001165,10001165,XF,XF,0,http://www.cardinalnewman.ac.uk/universitycourses/,,,,
10001196,10001196,XF,XF,1,http://www.carlisle.ac.uk/enrichment,,83,17,68
10001207,10001207,XF,XF,1,https://carshalton.ac.uk/,,31,58,66
10001282,10001282,XF,XF,1,http://mynsu.northumbria.ac.uk,,77,3825,75
10001309,10006299,XF,XF,0,http://www.staffsunion.com,,,,75
10001378,10001378,XF,XF,1,https://www.chesterfield.ac.uk/college-life/student-union,,65,48,55
10001386,10001386,XF,XF,1,http://www.chickenshed.org.uk,,100,20,70
10001446,10001446,XF,XF,1,http://www.cirencester.ac.uk,,,,
10001457,10001457,XF,XF,1,http://www.brightonsu.com/,,55,61,68
10001458,10001458,XF,XF,1,http://www.covcollege.ac.uk/,,,,
10001465,10001465,XF,XF,1,http://www.bathcollege.ac.uk/college-life/students-union,,50,17,71
10001467,10001467,XF,XF,1,http://www.cityofbristol.ac.uk,,48,87,64
10001474,10006299,XF,XF,0,http://www.staffsunion.com,,,,75
10001475,10001475,XF,XF,1,http://www.nus.org.uk,,58,109,77
10001476,10001476,XF,XF,1,http://www.cwc.ac.uk,,,,
10001478,10001478,XF,XF,1,http://www.city.ac.uk/alumni/benefits-and-services/students-union,,60,1855,80
10001503,10001503,XF,XF,1,http://hartlepool.ccad.ac.uk/student-union,,33,104,84
10001535,10001535,XF,XF,1,http://www.colchester.ac.uk/students/students-union/,,57,151,68
10001548,10001548,XF,XF,1,http://www.conel.ac.uk/for-learners/1002-the-students-union.html,,45,24,86
10001549,10001549,XF,XF,1,http://www.cnwl.ac.uk/college-life/student-council,,67,23,68
10001653,10001653,XF,XF,1,http://www.nus.org.uk,,69,300,80
10001696,10001696,XF,XF,1,http://www.cornwallstudents.org/,,50,145,53
10001726,10001726,XF,XF,1,http://www.cusu.org/,,79,3400,70
10001743,10001743,XF,XF,1,http://www.craven-college.ac.uk/index.php/higher-education-info/supporting-you/,,70,48,73
10001744,10001744,XF,XF,1,http://www.centralsussex.ac.uk,,85,26,51
10001778,10001778,XF,XF,1,http://www.croydon.ac.uk/courses/ucc/fees-and-funding,,60,118,58
10001850,10007161,XF,XF,1,http://www.tees-su.org.uk/,,50,45,65
10001883,10001883,XF,XF,1,http://www.demontfortstudents.com,,75,2600,75
10001897,10001897,XF,XF,1,http://www.dearne-coll.ac.uk/higher-education/why-study-at-dearne-valley-college/,,65,26,67
10001901,10001696,XF,XF,0,http://www.cornwallstudents.org/,,,,
10001919,10001919,XF,XF,1,http://www.dcsu.co.uk/,,33,83,86
10002005,10002005,XF,XF,1,http://www.don.ac.uk/studentunion/Pages/default.aspx,,37,147,82
10002011,10007146,XF,XF,0,http://www.suug.co.uk/,,57,45,75
10002061,10002061,XF,XF,1,http://www.centralbeds.ac.uk/college-life,,68,26,58
10002107,10002107,XF,XF,1,http://www.eastberks.ac.uk/,,91,28,76
10002126,10002126,XF,XF,1,https://www.eastridingcollege.ac.uk/life-at-east-riding-college,,65,27,66
10002130,10002130,XF,XF,1,https://www.esc.ac.uk/support-for-learning-in-higher-education,,64,34,63
10002143,10002143,XF,XF,1,http://www.eastleigh.ac.uk/,,20,12,80
10002344,10007146,XF,XF,0,http://www.suug.co.uk/,,85,45,75
10002370,10002370,XF,XF,1,http://www.exe-coll.ac.uk/HE/Life/Rep.aspx,,51,93,64
10002412,10002412,XF,XF,1,http://www.farn-ct.ac.uk/Life%20at%20College/National%20Union%20of%20Students,,42,95,82
10002599,10002599,XF,XF,1,http://www.furness.ac.uk/,,44,43,81
10002638,10002638,XF,XF,0,http://www.gateshead.ac.uk/student-services/students-union/,,64,66,59
10002681,10002681,XH,XH,0,http://www.theartschool.co.uk/,,76,265,80
10002696,10002696,XF,XF,1,http://www.gloscol.ac.uk/student-and-parent-guide/the-students-union/overview/,,49,51,65
10002718,10002718,XF,XF,1,http://www.goldsmithssu.org/,,49,980,70
10002743,10002743,XF,XF,1,http://www.grantham.ac.uk/student-life/student-support,,75,14,82
10002755,10014001,XF,XF,1,http://www.uosunion.org/,,68,45,70
10002767,10003957,XF,XF,0,http://www.liverpoolsu.com,,,,75
10002815,10002815,XF,XF,1,http://www.guildford.ac.uk/DegreeLevel/TheFunStuff/StudentsUnion.aspx,,19,68,66
10002843,10002843,XF,XF,1,http://www.hadlow.ac.uk/current-students/student-union/,,39,128,84
10002852,10002852,XF,XF,1,http://www.halesowen.ac.uk/index.cfm?contentarea=studentsUnion,,72,30,70
10002863,10002863,XF,XF,1,http://www.riverside.ac.uk,,83,30,88
10002869,10007848,XF,XF,0,http://www.chestersu.com/,,,,70
10002899,10002899,XF,XF,1,https://www.harlow-college.ac.uk,,41,25,71
10002917,10007161,XF,XF,1,http://www.tees-su.org.uk/,,82,45,65
10002919,10002919,XF,XF,1,http://su.hartpury.ac.uk/,,48,288,73
10002923,10002923,XF,XF,1,http://www.sussexcoast.ac.uk/courses/higher-education.html,,68,25,54
10002935,10002935,XF,XF,1,http://www.havering-college.ac.uk/students-union.html,,55,92,51
10003010,10003010,XF,XF,1,http://www.henley-cov.ac.uk/student-support/,,92,14,58
10003022,10003022,XF,XF,1,http://www.hca.ac.uk/students,,67,77,82
10003023,10003023,XF,XF,1,http://www.hlcollege.ac.uk/Student/learner-services.html,,57,45,66
10003035,10003035,XF,XF,1,http://www.hrc.ac.uk/pages/common/HRC.aspx?pg=4447,,74,57,61
10003146,10003146,XF,XF,0,http://www.hopwood.ac.uk/19-plus-students/higher-education/,,77,53,61
10003193,10003193,XF,XF,1,http://www.nus.org.uk/en/,,65,95,79
10003200,10003200,XF,XF,1,http://www.hcsu.co.uk/,,47,194,72
10003270,10003270,XF,XF,1,https://www.imperialcollegeunion.org/,,71,1515,80
10003406,10003406,XF,XF,1,https://www.iwcollege.ac.uk/information/student-services/student-support/,,50,19,70
10003558,10003558,XF,XF,1,http://www.uclansu.co.uk/,,41,21,68
10003614,10003614,XF,XF,1,http://www.winchesterstudents.co.uk/,,83,1370,80
10003645,10003645,XF,XF,1,http://www.kcl.ac.uk/campuslife/student/union.aspx,,65,2635,75
10003674,10003674,XF,XF,1,https://kingston-college.ac.uk/undergraduate/students-union,,56,166,66
10003676,10003676,XF,XF,1,http://www.kmc.ac.uk/student-life/student-council/,,40,24,75
10003678,10003678,XF,XF,1,http://www.kusu.co.uk/,,61,2840,70
10003708,10003708,XF,XF,1,http://www.knowsleycollege.ac.uk/higher-education/student-support/,,,,
10003753,10003753,XF,XF,0,http://www.lcwc.ac.uk/support/association/,,75,20,65
10003755,10004048,XF,XF,1,http://www.londonmetsu.org.uk/,,57,15,75
10003768,10003768,XF,XF,1,http://www.lmc.ac.uk/courses/school-leavers/students-union,,52,26,55
10003854,10003854,XF,XF,1,http://www.leeds-art.ac.uk/life-in-leeds/students-union/,,73,295,85
10003855,10003855,XF,XF,1,http://www.lcb.ac.uk/leeds-college/college-life/student-union,,79,18,86
10003861,10003861,XF,XF,1,http://www.leedsbeckettsu.co.uk/,,70,3435,75
10003863,10003863,XF,XF,1,http://www.leedstrinity.ac.uk/student-life/students-union,,62,640,75
10003867,10003867,XF,XF,1,https://leicestercollege.ac.uk/college-life/,,69,103,71
10003894,10003894,XF,XF,1,http://www.lesoco.ac.uk/,,44,29,71
10003928,10003928,XF,XF,0,http://www.lincolncollege.ac.uk/support,,38,42,69
10003945,10003945,XF,XF,1,http://www.liverpoolsu.com/,,46,170,75
10003955,10003955,XF,XF,1,http://my.liv-stu.co.uk/information/get-involved/student-union/,,79,72,61
10003956,10003956,XF,XF,1,http://www.hopesu.com/,,72,810,80
10003957,10003957,XF,XF,1,http://www.liverpoolsu.com,,50,3275,75
10004011,10000291,XF,XF,0,http://www.angliastudent.com,,,,75
10004048,10004048,XF,XF,1,http://www.londonmetsu.org.uk/,,64,1670,75
10004063,10004063,XF,XF,1,http://www.lsesu.com,,55,910,65
10004078,10004078,XF,XF,1,http://www.lsbu.ac.uk/student-life/students-union,,65,1785,70
10004112,10004112,XF,XF,1,http://www.lsu.co.uk,,75,159,63
10004113,10004113,XF,XF,1,http://www.lsu.co.uk/,,90,2500,80
10004116,10014001,XF,XF,1,http://www.uosunion.org/,,55,40,70
10004144,10004144,XF,XF,1,http://www.macclesfield.ac.uk,,59,44,56
10004180,10004180,XF,XF,1,https://www.theunionmmu.org/,,77,4905,75
10004222,10003678,XF,XF,0,http://www.kusu.co.uk/,,,,70
10004339,10004339,XF,XF,1,http://www.midchesh.ac.uk/student-union-learner-voice,,,,
10004340,10004340,XF,XF,1,http://www.midkent.ac.uk/help-advice/students-union/,,66,57,61
10004344,10007161,XF,XF,1,http://www.tees-su.org.uk/,,82,105,65
10004351,10004351,XF,XF,1,http://www.mdxsu.com/,,66,2540,75
10004375,10004375,XF,XF,1,http://www.mkcollege.ac.uk/page/student-council,,60,22,50
10004442,10004442,XF,XF,1,http://www.moulton.ac.uk/the-college/life-at-moulton/studying-at-moulton/student-association,,45,61,62
10004478,10004478,XF,XF,1,http://www.myerscough.ac.uk/students/student-life/students-union/,,58,202,71
10004576,10004576,XF,XF,1,http://www.newcollegedurham.ac.uk/the-college/students-union/,,79,172,81
10004577,10004577,XF,XF,1,https://www.ncn.ac.uk/studying-with-ncn/supporting-you,,50,118,81
10004579,10004579,XF,XF,1,http://www.newcollege.ac.uk/content/student-union,,33,35,85
10004580,10004580,XF,XF,1,http://www.nct.ac.uk/higher-education,,,,
10004596,10004596,XF,XF,1,http://www.newbury-college.ac.uk/,,78,10,91
10004599,10004599,XF,XF,1,http://www.ncl-coll.ac.uk/the-college/student-union,,49,790,78
10004603,10004603,XF,XF,1,http://www.nus.org.uk/,,,,
10004607,10004607,XF,XF,1,http://www.newham.ac.uk/studentsunion,,68,82,59
10004609,10003678,XF,XF,0,http://www.kusu.co.uk/,,67,15,70
10004676,10004676,XF,XF,1,http://www.petroc.ac.uk/he,,66,112,71
10004686,10004686,XF,XF,1,http://www.nescot.ac.uk/higher-education/support-for-he-students/,,53,46,58
10004690,10004690,XF,XF,1,http://www.uhsu.co.uk/,,,,
10004695,10004695,XF,XF,1,http://www.northlindsey.ac.uk/higher-education,,72,172,83
10004718,10004718,XF,XF,1,http://www.nwhc.ac.uk,,35,23,55
10004721,10004721,XF,XF,1,http://www.northkent.ac.uk/college-life/your-time-at-college.aspx,,69,51,77
10004736,10004736,XF,XF,1,https://www.northbrook.ac.uk/NBSU,,61,153,68
10004760,10004760,XF,XF,1,http://www.nus.org.uk/en/students-unions/,,67,25,60
10004772,10004772,XF,XF,0,http://ccnsu.unioncloud.org/,,43,277,72
10004775,10004775,XF,XF,1,http://www.nua.ac.uk/study/studentunion/,,47,365,70
10004797,10004797,XF,XF,1,http://www.trentstudents.org,,85,4135,75
10004835,10004835,XF,XF,1,http://www.herts.ac.uk/university-life/student-life,,84,35,67
10004927,10004927,XF,XF,1,http://www.activatelearning.ac.uk/university-level/our-colleges,,53,117,81
10004930,10004930,XF,XF,1,http://www.brookesunion.org.uk/,,43,2120,75
10005032,10005032,XF,XF,1,http://www.salfordcc.ac.uk,,,,
10005072,10005072,XF,XF,1,http://ace.psc.ac.uk/support/information.php,,63,24,65
10005077,10005077,XF,XF,1,http://www.ucp.ac.uk/supporting-you/,,33,24,60
10005124,10005124,XF,XF,1,http://plumpton.ac.uk,,35,39,62
10005127,10005127,XF,XF,1,http://www.plymouthart.ac.uk/studying/students-union/,,57,170,90
10005128,10005128,XF,XF,1,http://www.cityplym.ac.uk/su,,76,137,63
10005200,10005200,XF,XF,1,http://www.preston.ac.uk/studentservices/,,,,
10005337,10005337,XH,XH,0,http://qmusu.org.uk/,,43,530,70
10005343,10005343,XG,XG,0,http://www.qubsu.org/,,80,2895,75
10005389,10005389,XF,XF,1,http://ravesu.co.uk/,,47,540,80
