PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,JOBPOP,JOBRESP_RATE,JOBAGG,JOBSBJ,PROFMAN,OTHERJOB,UNKWN
10000291,10000291,K00331,1,170,76,11,B,50,50,1
10000291,10000291,K00332,2,30,65,13,061,85,15,0
10000291,10000291,K00334,2,15,90,14,,100,0,0
10000291,10000291,K00338,2,85,76,12,04,95,5,0
10000291,10000291,K00341,2,25,85,11,B,90,10,0
10000291,10000291,K00342,2,25,85,11,B,90,10,0
10000291,10000291,K00345,2,40,90,23,103,70,30,0
10000291,10000291,K00346,2,45,85,21,I,70,30,0
10000291,10000291,K00347,2,25,85,11,B,90,10,0
10000291,10000291,K00352,2,20,75,11,D,75,25,0
10000291,10000291,K00357,2,20,75,11,D,75,25,0
10000291,10000291,K00358,2,20,75,11,D,75,25,0
10000291,10000291,K00359,2,15,70,13,061,75,25,0
10000291,10000291,K00360,2,15,70,13,061,75,25,0
10000291,10000291,K00361,2,15,70,13,061,75,25,0
10000291,10000291,K00362,2,20,75,11,D,75,25,0
10000291,10000291,K00442,1,60,81,13,075,26,74,0
10000385,10000385,BAACT,1,40,85,14,,75,30,0
10000385,10000385,BAAEP,1,25,95,14,,85,15,0
10000385,10000385,BAANP,1,30,90,14,,95,5,0
10000385,10000385,BAARC,1,20,80,14,,85,15,0
10000385,10000385,BACPH,1,40,90,14,,75,25,0
10000385,10000385,BACRW,1,150,88,12,38,83,17,0
10000385,10000385,BACSS,1,70,100,14,,69,31,0
10000385,10000385,BADAN,1,140,95,12,37,70,30,0
10000385,10000385,BAFAR,1,20,80,14,,70,30,0
10000385,10000385,BAFCO,1,220,90,13,096,71,29,0
10000385,10000385,BAFLP,1,50,85,14,,90,10,0
10000385,10000385,BAFSC,1,65,84,24,,50,50,0
10000385,10000385,BAGDS,1,30,90,14,,70,30,0
10000385,10000385,BAIAD,1,20,90,14,,75,25,0
10000385,10000385,BAILL,1,40,85,14,,65,35,0
10000385,10000385,BAMDM,1,25,90,14,,95,5,0
10000385,10000385,BAMMP,1,35,95,14,,70,30,0
10000385,10000385,BAPHO,1,35,90,14,,70,30,0
10000385,10000385,BATXT,1,25,95,14,,65,35,0
10000385,10000385,BAVCO,1,25,95,14,,85,15,0
10000385,10000385,BAVFX,1,150,88,13,100,83,17,0
10000415,10000415,BSA3F,1,20,92,24,,30,70,0
10000415,10000415,DFACCF,1,25,89,12,09,15,85,0
10000415,10000415,DFALMF,1,25,90,13,024,15,85,0
10000415,10000415,DFALMP,2,15,89,23,024,30,70,0
10000415,10000415,DFAMX,1,15,80,24,,5,95,0
10000415,10000415,DFAMXF,1,15,80,24,,5,95,0
10000415,10000415,DFAMXP,2,15,89,23,024,30,70,0
10000415,10000415,DFARBF,1,25,89,12,09,15,85,0
10000415,10000415,DFCFBF,1,25,89,12,09,15,85,0
10000415,10000415,DFCMXF,1,25,90,13,024,15,85,0
10000415,10000415,DFCMXP,2,15,89,23,024,30,70,0
10000415,10000415,DFELEF,1,25,90,13,024,15,85,0
10000415,10000415,DFESCF,1,25,90,13,024,15,85,0
10000415,10000415,DFHORF,1,25,90,13,024,15,85,0
10000415,10000415,DFSSMF,1,25,90,13,024,15,85,0
10000415,10000415,DFVNX,1,25,89,12,09,15,85,0
10000415,10000415,DFVNXF,1,25,89,12,09,15,85,0
10000528,10000528,Q170F016,1,20,64,21,H,50,50,0
10000528,10000528,Q170F017,1,10,69,23,100,70,30,0
10000528,10000528,Q170F019,1,10,69,23,100,70,30,0
10000528,10000528,Q170F224-15,1,10,69,23,100,70,30,0
10000534,10000534,PUBLCHNC,2,10,52,23,053,50,50,0
10000534,10000534,PUBLCHND,2,10,52,23,053,50,50,0
10000536,10000536,AT19CBSCFT,1,15,67,23,048,60,40,0
10000536,10000536,CA49BAMT,1,15,62,13,097,40,55,5
10000536,10000536,CA49BAPM,1,15,62,13,097,40,55,5
10000536,10000536,PS29EYBAPT,2,15,68,23,105,40,55,10
10000571,10000571,BA-3DIMO,1,10,85,14,,60,40,0
10000571,10000571,BA-ACT,1,35,80,14,,55,45,0
10000571,10000571,BA-BM,1,40,85,14,,70,30,0
10000571,10000571,BA-BM-SW,1,10,85,14,,80,20,0
10000571,10000571,BA-BMACC,1,70,87,11,D,73,27,0
10000571,10000571,BA-BMACC-SW,1,70,87,11,D,73,27,0
10000571,10000571,BA-BMENP,1,55,84,13,061,71,29,0
10000571,10000571,BA-BMENP-SW,1,55,84,13,061,71,29,0
10000571,10000571,BA-BMFAE,1,55,84,13,061,71,29,0
10000571,10000571,BA-BMFAE-SW,1,55,84,13,061,71,29,0
10000571,10000571,BA-BMHRM,1,70,87,11,D,73,27,0
10000571,10000571,BA-BMHRM-SW,1,70,87,11,D,73,27,0
10000571,10000571,BA-BMINT,1,55,84,13,061,71,29,0
10000571,10000571,BA-BMINT-SW,1,55,84,13,061,71,29,0
10000571,10000571,BA-BMLAW,1,55,84,13,061,71,29,0
10000571,10000571,BA-BMLAW-SW,1,55,84,13,061,71,29,0
10000571,10000571,BA-BMM,1,65,86,12,25,74,26,0
10000571,10000571,BA-BMM-SW,1,70,87,11,D,73,27,0
10000571,10000571,BA-BMTM,1,70,87,11,D,73,27,0
10000571,10000571,BA-BMTM-SW,1,70,87,11,D,73,27,0
10000571,10000571,BA-CAP,1,15,75,14,,40,60,0
10000571,10000571,BA-CM,1,25,85,14,,65,40,0
10000571,10000571,BA-CMP,1,20,70,24,,60,40,0
10000571,10000571,BA-CW,1,15,75,14,,50,50,0
10000571,10000571,BA-DA,1,15,65,24,,55,45,0
10000571,10000571,BA-DS,1,30,80,14,,50,50,0
10000571,10000571,BA-EDAAR,1,15,60,13,095,60,40,0
10000571,10000571,BA-EDAAR,1,45,75,13,105,45,55,0
10000571,10000571,BA-EDABM,1,45,75,13,105,45,55,0
10000571,10000571,BA-EDABM,1,55,84,13,061,71,29,0
10000571,10000571,BA-EDACW,1,30,75,13,101,50,50,0
10000571,10000571,BA-EDACW,1,45,75,13,105,45,55,0
10000571,10000571,BA-EDADA,1,15,70,13,099,70,30,0
10000571,10000571,BA-EDADA,1,45,75,13,105,45,55,0
10000571,10000571,BA-EDADS,1,45,75,13,105,45,55,0
10000571,10000571,BA-EDADS,1,90,80,13,098,56,44,0
10000571,10000571,BA-EDAEN,1,45,75,13,105,45,55,0
10000571,10000571,BA-EDAEN,1,60,86,13,075,30,70,0
10000571,10000571,BA-EDAHY,1,35,75,13,090,35,65,0
10000571,10000571,BA-EDAHY,1,45,75,13,105,45,55,0
10000571,10000571,BA-EDAMC,1,20,60,13,069,55,45,0
10000571,10000571,BA-EDAMC,1,45,75,13,105,45,55,0
10000571,10000571,BA-EDASR,1,15,65,23,094,25,70,5
10000571,10000571,BA-EDASR,1,45,75,13,105,45,55,0
10000571,10000571,BA-EDATD,1,45,75,13,105,45,55,0
10000571,10000571,BA-EDATD,1,85,84,13,096,64,36,0
10000571,10000571,BA-EDSECAAR,1,15,60,13,095,60,40,0
10000571,10000571,BA-EDSECAAR,1,45,75,13,105,45,55,0
10000571,10000571,BA-EDSECABI,1,15,90,13,012,60,40,0
10000571,10000571,BA-EDSECABI,1,45,75,13,105,45,55,0
10000571,10000571,BA-EDSECADS,1,45,75,13,105,45,55,0
10000571,10000571,BA-EDSECADS,1,90,80,13,098,56,44,0
10000571,10000571,BA-EDSECAEN,1,30,75,13,101,50,50,0
10000571,10000571,BA-EDSECAEN,1,45,75,13,105,45,55,0
10000571,10000571,BA-EDSECAMU,1,45,75,13,105,45,55,0
10000571,10000571,BA-EDSECAMU,1,75,88,13,097,58,42,0
10000571,10000571,BA-EDSECASR,1,15,65,23,094,25,70,5
10000571,10000571,BA-EDSECASR,1,45,75,13,105,45,55,0
10000571,10000571,BA-EDSIN,1,15,80,24,,35,65,0
10000571,10000571,BA-EN,1,40,90,14,,25,75,0
10000571,10000571,BA-ES,1,15,65,14,,30,70,0
10000571,10000571,BA-EY,1,10,65,14,,75,25,0
10000571,10000571,BA-EYSIN,1,45,75,13,105,45,55,0
10000571,10000571,BA-FD,1,15,75,14,,50,50,0
10000571,10000571,BA-FINEART,1,15,60,14,,55,45,0
10000571,10000571,BA-FSS,1,15,65,24,,55,45,0
10000571,10000571,BA-FTD,1,20,85,14,,60,40,0
10000571,10000571,BA-FTV,1,20,60,13,069,55,45,0
10000571,10000571,BA-GEHU,1,35,85,11,L,60,40,0
10000571,10000571,BA-GRAPHCOM,1,40,90,14,,70,30,0
10000571,10000571,BA-HAD,1,25,70,13,102,55,45,0
10000571,10000571,BA-HY,1,25,75,14,,35,65,0
10000571,10000571,BA-IE,1,45,75,13,105,45,55,0
10000571,10000571,BA-IEDSIN,1,45,75,13,105,45,55,0
10000571,10000571,BA-MC,1,20,75,24,,50,50,0
10000571,10000571,BA-MT,1,20,90,14,,50,50,0
10000571,10000571,BA-MUS,1,25,95,14,,60,40,0
10000571,10000571,BA-PH,1,25,70,24,,65,35,0
10000571,10000571,BA-RPE,1,15,65,23,093,35,65,0
10000571,10000571,BA-RPE,1,15,65,23,094,25,70,5
10000571,10000571,BA-TP,1,15,80,14,,80,20,0
10000571,10000571,BA-YC,1,45,75,13,105,45,55,0
10000571,10000571,BAMA-CM,1,75,88,13,097,58,42,0
10000571,10000571,BAMA-TDFI,1,85,84,13,096,64,36,0
10000571,10000571,BS-BI,1,15,90,14,,60,40,0
10000571,10000571,BS-BI-SW,1,15,90,13,012,60,40,0
10000571,10000571,BS-BICB,1,15,90,13,012,60,40,0
10000571,10000571,BS-BICB-SW,1,15,90,13,012,60,40,0
10000571,10000571,BS-BIHB,1,15,90,13,012,60,40,0
10000571,10000571,BS-BIHB-SW,1,15,90,13,012,60,40,0
10000571,10000571,BS-CRI,1,20,70,13,054,30,70,0
10000571,10000571,BS-EDABI,1,15,90,13,012,60,40,0
10000571,10000571,BS-EDABI,1,45,75,13,105,45,55,0
10000571,10000571,BS-EDAGE,1,35,85,13,031,60,40,0
10000571,10000571,BS-EDAGE,1,45,75,13,105,45,55,0
10000571,10000571,BS-EDAPS,1,35,70,13,019,45,55,0
10000571,10000571,BS-EDAPS,1,45,75,13,105,45,55,0
10000571,10000571,BS-EDASC,1,20,70,13,054,30,70,0
