PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,DEGPOP,DEGAGG,DEGSBJ,UFIRST,UUPPER,ULOWER,UOTHER,UORDINARY,UDISTINCTION,UMERIT,UPASS,UNA
10000291,10000291,K00328,1,60,13,098,12,68,18,2,0,0,0,0,0
10000291,10000291,K00329,1,410,11,2,28,39,24,9,0,0,0,0,0
10000291,10000291,K00330,1,410,11,2,28,39,24,9,0,0,0,0,0
10000291,10000291,K00331,1,305,11,B,16,48,28,8,0,0,0,0,0
10000291,10000291,K00334,2,20,14,,35,55,10,0,0,0,0,0,0
10000291,10000291,K00341,2,40,11,B,20,55,20,10,0,0,0,0,0
10000291,10000291,K00342,2,40,11,B,20,55,20,10,0,0,0,0,0
10000291,10000291,K00345,2,50,23,103,15,30,10,45,0,0,0,0,0
10000291,10000291,K00346,2,10,11,I,45,45,10,0,0,0,0,0,0
10000291,10000291,K00347,2,40,11,B,20,55,20,10,0,0,0,0,0
10000291,10000291,K00352,2,35,11,D,25,25,35,10,0,0,0,0,0
10000291,10000291,K00357,2,35,11,D,25,25,35,10,0,0,0,0,0
10000291,10000291,K00358,2,35,11,D,25,25,35,10,0,0,0,0,0
10000291,10000291,K00359,2,30,13,061,25,25,40,10,0,0,0,0,0
10000291,10000291,K00360,2,30,13,061,25,25,40,10,0,0,0,0,0
10000291,10000291,K00361,2,30,13,061,25,25,40,10,0,0,0,0,0
10000291,10000291,K00362,2,35,11,D,25,25,35,10,0,0,0,0,0
10000291,10000291,K00442,1,10,24,,0,20,55,25,0,0,0,0,0
10000385,10000385,BAACT,1,55,14,,11,67,23,0,0,0,0,0,0
10000385,10000385,BAAEP,1,30,14,,15,40,45,5,0,0,0,0,0
10000385,10000385,BAANP,1,50,14,,10,35,50,10,0,0,0,0,0
10000385,10000385,BAARC,1,40,14,,20,25,30,30,0,0,0,0,0
10000385,10000385,BACPH,1,50,14,,15,50,20,10,0,0,0,0,0
10000385,10000385,BACRW,1,220,12,38,18,44,29,8,0,0,0,0,0
10000385,10000385,BACSS,1,80,14,,20,70,10,0,0,0,0,0,0
10000385,10000385,BADAN,1,175,12,37,16,63,16,6,0,0,0,0,0
10000385,10000385,BAFAR,1,35,14,,15,55,25,10,0,0,0,0,0
10000385,10000385,BAFCO,1,305,13,096,17,38,32,14,0,0,0,0,0
10000385,10000385,BAFLP,1,80,14,,25,41,29,5,0,0,0,0,0
10000385,10000385,BAFSC,1,90,24,,11,49,31,9,0,0,0,0,0
10000385,10000385,BAGDS,1,45,14,,25,30,30,10,0,0,0,0,0
10000385,10000385,BAIAD,1,25,14,,20,25,40,15,0,0,0,0,0
10000385,10000385,BAILL,1,65,14,,15,37,29,18,0,0,0,0,0
10000385,10000385,BAMDM,1,30,14,,15,40,30,15,0,0,0,0,0
10000385,10000385,BAMMP,1,40,14,,15,40,20,25,0,0,0,0,0
10000385,10000385,BAPHO,1,45,14,,20,55,15,10,0,0,0,0,0
10000385,10000385,BATXT,1,35,14,,25,50,20,5,0,0,0,0,0
10000385,10000385,BAVCO,1,30,14,,15,45,40,5,0,0,0,0,0
10000385,10000385,BAVFX,1,220,13,100,18,44,29,8,0,0,0,0,0
10000415,10000415,BSA3F,1,10,14,,0,40,50,0,10,0,0,0,0
10000536,10000536,AT19CBSCFT,1,15,13,048,20,75,0,5,0,0,0,0,0
10000536,10000536,AT19CBSCPT,2,10,23,048,60,40,0,0,0,0,0,0,0
10000536,10000536,CA49BAMT,1,35,13,097,25,55,15,5,0,0,0,0,0
10000536,10000536,CA49BAPM,1,35,13,097,25,55,15,5,0,0,0,0,0
10000536,10000536,PS29EYBAFT,1,20,13,105,25,30,45,0,0,0,0,0,0
10000536,10000536,PS29EYBAPT,2,15,13,105,20,40,25,15,0,0,0,0,0
10000571,10000571,BA-3DIMO,1,10,14,,25,15,60,0,0,0,0,0,0
10000571,10000571,BA-ACT,1,55,14,,28,68,4,0,0,0,0,0,0
10000571,10000571,BA-BM,1,70,14,,1,58,35,6,0,0,0,0,0
10000571,10000571,BA-BM-SW,1,10,14,,35,60,10,0,0,0,0,0,0
10000571,10000571,BA-BMACC,1,15,24,,0,40,55,10,0,0,0,0,0
10000571,10000571,BA-BMACC-SW,1,15,23,066,0,40,55,10,0,0,0,0,0
10000571,10000571,BA-BMENP,1,95,13,061,6,58,31,4,0,0,0,0,0
10000571,10000571,BA-BMENP-SW,1,95,13,061,6,58,31,4,0,0,0,0,0
10000571,10000571,BA-BMFAE,1,95,13,061,6,58,31,4,0,0,0,0,0
10000571,10000571,BA-BMFAE-SW,1,95,13,061,6,58,31,4,0,0,0,0,0
10000571,10000571,BA-BMHRM,1,130,11,D,5,56,35,5,0,0,0,0,0
10000571,10000571,BA-BMHRM-SW,1,130,11,D,5,56,35,5,0,0,0,0,0
10000571,10000571,BA-BMINT,1,95,13,061,6,58,31,4,0,0,0,0,0
10000571,10000571,BA-BMINT-SW,1,95,13,061,6,58,31,4,0,0,0,0,0
10000571,10000571,BA-BMLAW,1,95,13,061,6,58,31,4,0,0,0,0,0
10000571,10000571,BA-BMLAW-SW,1,95,13,061,6,58,31,4,0,0,0,0,0
10000571,10000571,BA-BMM,1,15,14,,0,55,40,5,0,0,0,0,0
10000571,10000571,BA-BMM-SW,1,130,11,D,5,56,35,5,0,0,0,0,0
10000571,10000571,BA-BMTM,1,130,11,D,5,56,35,5,0,0,0,0,0
10000571,10000571,BA-BMTM-SW,1,130,11,D,5,56,35,5,0,0,0,0,0
10000571,10000571,BA-CAP,1,40,14,,35,35,30,0,0,0,0,0,0
10000571,10000571,BA-CM,1,35,14,,10,75,10,5,0,0,0,0,0
10000571,10000571,BA-CMP,1,15,14,,30,70,0,0,0,0,0,0,0
10000571,10000571,BA-CW,1,30,14,,10,85,5,0,0,0,0,0,0
10000571,10000571,BA-DA,1,15,14,,0,75,25,0,0,0,0,0,0
10000571,10000571,BA-DS,1,50,14,,5,80,10,5,0,0,0,0,0
10000571,10000571,BA-EDAAR,1,35,13,095,10,55,30,10,0,0,0,0,0
10000571,10000571,BA-EDAAR,1,165,13,105,16,58,22,3,0,0,0,0,0
10000571,10000571,BA-EDABM,1,95,13,061,6,58,31,4,0,0,0,0,0
10000571,10000571,BA-EDABM,1,165,13,105,16,58,22,3,0,0,0,0,0
10000571,10000571,BA-EDACW,1,65,13,101,16,76,8,0,0,0,0,0,0
10000571,10000571,BA-EDACW,1,165,13,105,16,58,22,3,0,0,0,0,0
10000571,10000571,BA-EDADA,1,25,13,099,10,70,20,0,0,0,0,0,0
10000571,10000571,BA-EDADA,1,165,13,105,16,58,22,3,0,0,0,0,0
10000571,10000571,BA-EDADS,1,150,13,098,18,70,11,1,0,0,0,0,0
10000571,10000571,BA-EDADS,1,165,13,105,16,58,22,3,0,0,0,0,0
10000571,10000571,BA-EDAEN,1,85,13,075,5,65,29,1,0,0,0,0,0
10000571,10000571,BA-EDAEN,1,165,13,105,16,58,22,3,0,0,0,0,0
10000571,10000571,BA-EDAHY,1,65,13,090,4,80,14,1,0,0,0,0,0
10000571,10000571,BA-EDAHY,1,165,13,105,16,58,22,3,0,0,0,0,0
10000571,10000571,BA-EDAMC,1,45,13,069,15,70,15,0,0,0,0,0,0
10000571,10000571,BA-EDAMC,1,165,13,105,16,58,22,3,0,0,0,0,0
