PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,LOCID,UCASCOURSEID
10000571,10000571,MOD-CWAPE,1,NP,6877
10000571,10000571,MOD-CWAPS,1,NP,3138
10000571,10000571,MOD-CWAPU,1,NP,3690
10000571,10000571,MOD-CWASC,1,NP,0431
10000571,10000571,MOD-CWASR,1,NP,0743
10000571,10000571,MOD-DAAED,1,NP,1874
10000571,10000571,MOD-DAAEN,1,NP,1066
10000571,10000571,MOD-DAAFI,1,NP,1937
10000571,10000571,MOD-DAAGE,1,NP,3494
10000571,10000571,MOD-DAAHY,1,NP,2796
10000571,10000571,MOD-DAAMC,1,NP,1040
10000571,10000571,MOD-DAAPE,1,NP,5498
10000571,10000571,MOD-DAAPS,1,NP,6422
10000571,10000571,MOD-DAASR,1,NP,1572
10000571,10000571,MOD-DSAED,1,NP,1918
10000571,10000571,MOD-DSAEN,1,NP,7923
10000571,10000571,MOD-DSAFI,1,NP,7352
10000571,10000571,MOD-DSAGE,1,NP,0783
10000571,10000571,MOD-DSAHY,1,NP,3478
10000571,10000571,MOD-DSAMC,1,NP,0228
10000571,10000571,MOD-DSAPE,1,NP,6501
10000571,10000571,MOD-DSAPS,1,NP,4450
10000571,10000571,MOD-DSASC,1,NP,1016
10000571,10000571,MOD-DSASR,1,NP,5051
10000571,10000571,MOD-EDAEN,1,NP,8716
10000571,10000571,MOD-EDAFI,1,NP,9930
10000571,10000571,MOD-EDAGE,1,NP,0751
10000571,10000571,MOD-EDAHY,1,NP,1858
10000571,10000571,MOD-EDAMC,1,NP,9347
10000571,10000571,MOD-EDAMU,1,NP,3936
10000571,10000571,MOD-EDAPE,1,NP,4554
10000571,10000571,MOD-EDAPS,1,NP,5238
10000571,10000571,MOD-EDASC,1,NP,2135
10000571,10000571,MOD-EDASR,1,NP,8591
10000571,10000571,MOD-ENAFI,1,NP,4902
10000571,10000571,MOD-ENAGE,1,NP,6976
10000571,10000571,MOD-ENAHAD,1,NP,4175
10000571,10000571,MOD-ENAHE,1,NP,7726
10000571,10000571,MOD-ENAHY,1,NP,9010
10000571,10000571,MOD-ENAMC,1,NP,3308
10000571,10000571,MOD-ENAMU,1,NP,0858
10000571,10000571,MOD-ENAPE,1,NP,9160
10000571,10000571,MOD-ENAPS,1,NP,4011
10000571,10000571,MOD-ENAPU,1,NP,8221
10000571,10000571,MOD-ENASC,1,NP,9866
10000571,10000571,MOD-ENASR,1,NP,1376
10000571,10000571,MOD-FIAGE,1,NP,4722
10000571,10000571,MOD-FIAHY,1,NP,4839
10000571,10000571,MOD-FIAMC,1,NP,1910
10000571,10000571,MOD-FIAMU,1,NP,7982
10000571,10000571,MOD-FIAPS,1,NP,6417
10000571,10000571,MOD-FIAPU,1,NP,5015
10000571,10000571,MOD-FIASC,1,NP,4656
10000571,10000571,MOD-FIASR,1,NP,1800
10000571,10000571,MOD-GEAHE,1,NP,4665
10000571,10000571,MOD-GEAHY,1,NP,6558
10000571,10000571,MOD-GEAMU,1,NP,3420
10000571,10000571,MOD-GEAPE,1,NP,0232
10000571,10000571,MOD-GEAPS,1,NP,6003
10000571,10000571,MOD-GEASC,1,NP,5188
10000571,10000571,MOD-HADAPU,1,NP,0446
10000571,10000571,MOD-HEAHAD,1,NP,5738
10000571,10000571,MOD-HEAHY,1,NP,9721
10000571,10000571,MOD-HEAMC,1,NP,0072
10000571,10000571,MOD-HEAPU,1,NP,1002
10000571,10000571,MOD-HYAMC,1,NP,4604
10000571,10000571,MOD-HYAMU,1,NP,1118
10000571,10000571,MOD-HYAPE,1,NP,1748
10000571,10000571,MOD-HYAPS,1,NP,6935
10000571,10000571,MOD-HYAPU,1,NP,4031
10000571,10000571,MOD-HYASC,1,NP,9249
10000571,10000571,MOD-HYASR,1,NP,2018
10000571,10000571,MOD-MCAMU,1,NP,4205
10000571,10000571,MOD-MCAPE,1,NP,7850
10000571,10000571,MOD-MCAPS,1,NP,5142
10000571,10000571,MOD-MCAPU,1,NP,3437
10000571,10000571,MOD-MCASC,1,NP,7750
10000571,10000571,MOD-MUAPE,1,NP,1413
10000571,10000571,MOD-MUAPS,1,NP,8919
10000571,10000571,MOD-MUASC,1,NP,7789
10000571,10000571,MOD-MUASR,1,NP,3411
10000571,10000571,MOD-PEAPS,1,NP,9587
10000571,10000571,MOD-PEASC,1,NP,7390
10000571,10000571,MOD-PSASC,1,NP,2293
10000571,10000571,MOD-PSASR,1,NP,7221
10000571,10000571,MOD-SCASR,1,NP,9676
10000610,10000610,B1322,1,SH,6961
10000610,10000610,B868,1,SH,0310
10000610,10000610,C1059,1,MN,5722
10000610,10000610,C1060,1,MN,3355
10000610,10000610,D347,1,MN,0530
10000610,10000610,D489,1,MN,2489
10000610,10000610,E2021,1,MN,9646
10000610,10000610,E780,1,MN,4752
10000610,10000610,F1090,1,MN,6744
10000610,10000610,F1925,1,MN,3910
10000610,10000610,H1400,1,MN,7904
10000610,10000610,H1626,1,MN,2693
10000610,10000610,H1628,1,MN,8440
10000610,10000610,H665C01,1,MN,3918
10000610,10000610,K1246,1,MN,1362
10000610,10000610,K1514,1,MN,5656
10000610,10000610,L1323,1,MN,5502
10000610,10000610,L1324,1,MN,9079
10000610,10000610,L1412C01,1,MN,1315
10000610,10000610,L1582,1,MN,1086
10000610,10000610,L1601,1,MN,0766
10000610,10000610,L1609,1,SM,3949
10000610,10000610,L510C01,1,MN,3089
10000610,10000610,L511C01,1,MN,6467
10000610,10000610,L515,1,MN,1526
10000610,10000610,L516,1,MN,1865
10000654,10000654,NFCDLBCA,1,BC,0272
10000654,10000654,SPRTMFH05,1,BC,1016
10000721,10000721,BScAABT,1,01,1300
10000721,10000721,BScAABT,2,01,1300
10000721,10000721,BScBIO,1,01,7265
10000721,10000721,BScEqBM,1,01,5755
10000721,10000721,BScEqBM,2,01,5755
10000721,10000721,BScEqSc,1,01,9315
10000721,10000721,BScEqSc,2,01,9315
10000721,10000721,BScEqSpC,1,01,4445
10000721,10000721,BScEqSpC,2,01,4445
10000721,10000721,BScEqTR,1,01,1904
10000721,10000721,BScEqTR,2,01,1904
10000721,10000721,BScSpC,1,01,1705
10000721,10000721,FDACBT,1,01,4354
10000721,10000721,FDACBT,2,01,4354
10000721,10000721,FDAG,1,01,9385
10000721,10000721,FDAG,2,01,9385
10000721,10000721,FDAMB,1,01,4221
10000721,10000721,FDAMB,2,01,4221
10000721,10000721,FDCM,2,01,4527
10000721,10000721,FDDes,1,01,1169
10000721,10000721,FDDes,2,01,1169
10000721,10000721,FDEqBM,1,01,2893
10000721,10000721,FDEqBM,2,01,2893
10000721,10000721,FDEqSc,1,01,5088
10000721,10000721,FDEqSc,2,01,5088
10000721,10000721,FDEqSpC,1,01,8881
10000721,10000721,FDEqSpC,2,01,8881
10000721,10000721,FDEqTR,1,01,1689
10000721,10000721,FDEqTR,2,01,1689
10000721,10000721,FDEvent,2,01,5658
10000721,10000721,FDFC,1,01,1140
10000721,10000721,FDFlor,1,01,3267
10000721,10000721,FDPC,1,01,3965
10000721,10000721,FDPFS,1,01,4592
10000721,10000721,FDPFS,2,01,4592
10000721,10000721,FDPT,1,01,1904
10000721,10000721,FDPT,2,01,1904
10000721,10000721,FDSpC,1,01,5667
10000721,10000721,FDSpC,2,01,5667
10000747,10000747,BS2521A12,1,10,9452
10000747,10000747,BS2521A12,2,10,9452
10000747,10000747,BS2521B14,1,10,9337
10000747,10000747,BS2521B14,2,10,9337
10000747,10000747,BS2550A14,1,10,7390
10000747,10000747,BS2550A14,2,10,7390
10000747,10000747,BS2611A14,1,10,7859
10000747,10000747,BS3001B15,1,10,0753
10000747,10000747,BS3001B15,2,10,0753
10000747,10000747,BS3001B15P,1,10,3401
10000747,10000747,BS3001B15Z,1,10,4709
10000747,10000747,BS3001B15Z,2,10,4709
10000747,10000747,BS3030A14,1,10,0342
10000747,10000747,BS3030A14,2,10,0342
10000747,10000747,BS3060A15,1,10,0571
10000747,10000747,BS3060A15,2,10,0571
10000747,10000747,BS3060A15P,1,10,6809
10000747,10000747,BS3060A15Z,1,10,8279
10000747,10000747,BS3060A15Z,2,10,8279
10000747,10000747,BS3310A14,1,10,8570
10000747,10000747,BS3310A14,2,10,8570
10000747,10000747,BS3560A15,1,10,7547
10000747,10000747,BS3560A15,2,10,7547
10000747,10000747,EH2210C13,1,10,3039
10000747,10000747,EH2502A12,1,10,3232
10000747,10000747,EH2502A12,2,10,3232
10000747,10000747,EH2510A11,1,10,0895
10000747,10000747,EH2540A11,1,10,4059
10000747,10000747,EH2550A11,1,10,0914
10000747,10000747,EH2560A13,1,10,6532
10000747,10000747,EH2560A13,2,10,6532
10000747,10000747,EH3101A11,1,10,3391
10000747,10000747,EH3101A11,2,10,3391
10000747,10000747,IA2520A11,1,10,3244
10000747,10000747,IA2540A11,1,10,8098
10000747,10000747,IA2540A11,2,10,8098
10000747,10000747,IA2540B11,1,10,3190
10000747,10000747,IA2540B11,2,10,3190
10000747,10000747,IA2540C11,1,10,5832
10000747,10000747,IA2540C11,2,10,5832
10000747,10000747,IA2661A09,1,10,9032
10000747,10000747,IA3000A12,1,10,9672
10000747,10000747,IA3000A12,2,10,9672
10000747,10000747,IA3000A12Z,1,10,8433
10000747,10000747,IA3000A12Z,2,10,8433
