PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,ENTPOP,ENTAGG,ENTSBJ,ACCESS,ALEVEL,BACC,DEGREE,FOUNDTN,NOQUALS,OTHER,OTHERHE
10000571,10000571,BA-CMP,1,25,14,,0,95,0,5,0,0,0,5
10000571,10000571,BA-CW,1,60,14,,2,93,2,0,0,0,0,3
10000571,10000571,BA-DA,1,30,14,,0,85,0,0,0,0,0,15
10000571,10000571,BA-DS,1,45,14,,0,100,0,0,0,0,0,0
10000571,10000571,BA-EDAAR,1,70,13,095,0,94,0,1,0,0,0,4
10000571,10000571,BA-EDAAR,1,215,13,105,4,73,1,0,0,0,0,21
10000571,10000571,BA-EDABM,1,185,13,061,1,65,2,0,0,0,1,32
10000571,10000571,BA-EDABM,1,215,13,105,4,73,1,0,0,0,0,21
10000571,10000571,BA-EDACW,1,115,13,101,4,90,2,0,0,0,0,4
10000571,10000571,BA-EDACW,1,215,13,105,4,73,1,0,0,0,0,21
10000571,10000571,BA-EDADA,1,35,13,099,0,90,0,0,0,0,0,10
10000571,10000571,BA-EDADA,1,215,13,105,4,73,1,0,0,0,0,21
10000571,10000571,BA-EDADS,1,145,13,098,0,95,1,0,0,0,0,3
10000571,10000571,BA-EDADS,1,215,13,105,4,73,1,0,0,0,0,21
10000571,10000571,BA-EDAEN,1,215,13,105,4,73,1,0,0,0,0,21
10000571,10000571,BA-EDAEN,1,90,13,075,6,90,2,0,0,0,1,1
10000571,10000571,BA-EDAHY,1,90,13,090,4,92,2,0,0,0,1,2
10000571,10000571,BA-EDAHY,1,215,13,105,4,73,1,0,0,0,0,21
10000571,10000571,BA-EDAMC,1,115,13,069,4,90,4,0,0,0,0,1
10000571,10000571,BA-EDAMC,1,215,13,105,4,73,1,0,0,0,0,21
10000571,10000571,BA-EDASR,1,15,13,094,5,85,5,0,0,0,0,5
10000571,10000571,BA-EDASR,1,215,13,105,4,73,1,0,0,0,0,21
10000571,10000571,BA-EDATD,1,160,13,096,1,89,1,1,0,0,0,9
10000571,10000571,BA-EDATD,1,215,13,105,4,73,1,0,0,0,0,21
10000571,10000571,BA-EDSECAAR,1,70,13,095,0,94,0,1,0,0,0,4
10000571,10000571,BA-EDSECAAR,1,215,13,105,4,73,1,0,0,0,0,21
10000571,10000571,BA-EDSECABI,1,35,13,012,5,90,5,0,0,0,0,0
10000571,10000571,BA-EDSECABI,1,215,13,105,4,73,1,0,0,0,0,21
10000571,10000571,BA-EDSECADS,1,145,13,098,0,95,1,0,0,0,0,3
10000571,10000571,BA-EDSECADS,1,215,13,105,4,73,1,0,0,0,0,21
10000571,10000571,BA-EDSECAEN,1,115,13,101,4,90,2,0,0,0,0,4
10000571,10000571,BA-EDSECAEN,1,215,13,105,4,73,1,0,0,0,0,21
10000571,10000571,BA-EDSECAMU,1,145,13,097,0,87,2,0,0,1,0,10
10000571,10000571,BA-EDSECAMU,1,215,13,105,4,73,1,0,0,0,0,21
10000571,10000571,BA-EDSECASR,1,15,13,094,5,85,5,0,0,0,0,5
10000571,10000571,BA-EDSECASR,1,215,13,105,4,73,1,0,0,0,0,21
